doc_id,response_value,early_adversity,chronic_stress,emotion_dysregulation,social_withdrawal,rumination,depression,active_dag_variables,noise_variables,narrative
doc_0010,0,0,1,0,1,0,0,chronic_stress|social_withdrawal,work_promotion|new_hobby,"I've been under constant stress—work, money, all of it—and the pressure has been relentless and it never lets up. Ever since this cycle started, I notice I've been pulling away from everyone and isolating myself. I just stop returning texts, cancel every plan I have, and go completely quiet for weeks at a time. It’s like once the tension reaches a certain point, I simply don't have the capacity to be around other people anymore. I spend my weekends alone in my apartment because the idea of a dinner party or even a quick coffee feels impossible. On the surface, things seem to be moving forward; I even got a promotion at work recently. I also started a new hobby with pottery classes. But regardless of those things, the pattern remains the same. When the stress becomes this persistent, I find myself cutting people off and retreating into my own space just to survive the week."
doc_0011,1,1,1,1,1,1,1,early_adversity|chronic_stress|emotion_dysregulation|social_withdrawal|rumination,diet_change|housing_change|new_hobby,"Growing up was traumatic—there was a lot of chaos at home. Ever since then, I notice that I've been under constant stress; the pressure from work and my finances just never lets up. When that happens, I find that my emotions are completely all over the place and I can't control them when it gets bad. Lately, this pressure tends to leave me pulling away from everyone and isolating myself. I’ve also started eating better lately. Being alone like this, combined with those emotional breakdowns, means I can't stop going over the same thoughts again and again, just replaying every failure in a loop. This cycle of repeating the same negative thoughts always leads me back to the same place. I feel depressed. It seems like everything traces back to that instability I had as a child, which just set the stage for how I struggle to handle things now."
doc_0012,0,1,0,1,0,0,0,early_adversity|emotion_dysregulation,work_promotion|new_hobby|diet_change,"Growing up was traumatic—there was a lot of chaos at home and no real stability for me. Ever since then, I notice that my emotions are completely all over the place. It manifests in these sudden, intense waves where I just can't seem to level out; one minute I'm fine, and the next I'm overwhelmed by a feeling that takes over everything. When these moments happen, I find myself unable to settle down or regain my footing, almost like I don't have the tools to bring myself back to center. It feels like a physical surge that I simply cannot steer. On other notes, I got a promotion at work recently, and I've also started a new hobby. But those things are separate from this struggle. I spend so much of my energy trying to manage these spikes, wondering why the smallest trigger can make me lose control of my internal state so quickly. I just want to find a way to feel steady."
doc_0013,1,1,1,1,0,1,1,early_adversity|chronic_stress|emotion_dysregulation|rumination,housing_change|work_promotion,"Growing up was traumatic — there was a lot of chaos at home. Ever since then, I notice that the pressure in my adult life has been relentless and it never lets up. When I'm under this kind of constant stress, I find that my emotions are completely all over the place. This instability often leads to moments where I can't stop going over the same thoughts again and again, just looping through every failure and regret. I've been depressed. I moved to a new place recently, and I also got a promotion at work, but those things don't change the fact that I still struggle to handle things. My childhood was so unstable that it seems to leave me unable to control my emotions when it gets bad, which just feeds back into that cycle of repeating the same negative thoughts until I feel completely drained."
doc_0014,1,1,0,1,0,1,1,early_adversity|emotion_dysregulation|rumination,,"Growing up was traumatic — there was a lot of chaos at home. Ever since then, I notice my emotions are completely all over the place; I just can't seem to keep them steady. When it gets that bad, I find myself replaying everything endlessly and can't shut it off, just looping through the same failures over and over. This cycle always leaves me feeling drained. I am depressed. I’ve felt this way for a long time, and it seems tied to everything that happened back then. I started eating better lately, not that it changes any of this. It's just that once those thoughts start spinning, I lose any sense of control over how I feel, and I end up right back in that dark place."
doc_0015,1,0,0,0,0,1,1,rumination,diet_change,"It’s become this cycle that I just can't break. Most days, I find that my mind keeps repeating the same mistakes and conversations over and over, looping through every awkward word or failure from years ago. I spend hours just circling these same memories, unable to find an exit or a way to move past them. When this happens, I notice that I feel depressed. It's a heavy, persistent state that seems to settle in whenever those thought patterns take over. I’ve been trying to eat better lately, but regardless of that, the mental loops just continue. I will wake up and immediately start re-analyzing a situation from three years ago, and by noon, the mood has completely shifted. It feels like once the repetition starts, there is no stopping the slide into that low place. I just want to find a way to silence the noise so I can actually function again."
doc_0016,0,0,1,0,1,0,0,chronic_stress|social_withdrawal,new_hobby,"I've been under constant stress—work, money, all of it—and the pressure has been relentless and it never lets up. Ever since this cycle started, I notice I've been pulling away from everyone and isolating myself. I just stop returning texts, cancel every plan I have, and go completely quiet for weeks at a time. It’s like I don't have the energy to maintain those connections while I'm dealing with everything else. I spend most of my weekends alone in my apartment, avoiding the phone and ignoring invitations because the idea of interacting with people feels overwhelming. I started learning how to paint miniatures recently, which is just something I do in my spare time. But when the pressure at work spikes, I find myself cutting people off and retreating further into my own space. It has become my default way of handling things; the more the stress piles up, the more I distance myself from the people who used to be around me."
doc_0017,0,0,0,1,0,0,0,emotion_dysregulation,new_hobby|housing_change,"I’ve noticed that my emotions are completely all over the place lately. It happens so suddenly; one minute I'm fine, and the next, I'm overwhelmed by a wave of intensity that I just can't manage. When it gets bad, I feel like I lose all my brakes, and I simply can't control my emotions once they take over. It's like an internal switch flips, and I'm suddenly reacting with a level of intensity that doesn't match the situation, leaving me feeling totally out of sync with myself for hours. I struggle to bring myself back down to a baseline where I can think clearly. On other notes, I moved to a new place recently and I started a new hobby of painting miniatures. But regardless of those things, this volatility remains the main issue. I just want to find a way to stabilize these swings because the lack of control over how I react is becoming the central focus of my daily life."
doc_0018,0,0,0,0,1,0,0,social_withdrawal,work_promotion|diet_change|travel,"I’ve noticed a pattern lately where I’ve been pulling away from everyone and isolating myself. It started small, but now I find myself ignoring texts for days and turning down every invitation to go out. I’ll see a notification from a friend and just decide I can't deal with it, so I stay home instead. I've been isolating, cancelling everything, seeing no one, and it's become my default way of spending my weekends. I spend most of my time alone in my apartment, avoiding the effort of maintaining those connections. On other fronts, things are just moving along; I even got a promotion at work recently. But regardless of that, I continue to cut people off and go quiet. I don't really know why I'm doing it, but the act of distancing myself from my social life has become this consistent habit that I can't seem to shake."
doc_0019,0,1,0,0,0,0,0,early_adversity,work_promotion|housing_change|diet_change,"My childhood was really unstable and difficult, filled with unpredictable outbursts and a total lack of safety. I remember spending so much time wondering which version of my parents would walk through the door each evening. That instability left a mark on me; I often find myself waiting for the other shoe to drop in my adult relationships, always expecting a sudden shift in tone or a hidden conflict. It's this lingering sense that peace is just a temporary mask for something chaotic. I spend a lot of energy analyzing small cues in people's voices to make sure I'm safe. Other things in my life are moving along—I moved to a new place recently and I've been trying to eat better lately—but those things don't intersect with this. I just want to figure out why I still feel like I'm living in that house sometimes, even though I've been away from it for years."
doc_0020,1,1,1,0,1,0,1,early_adversity|chronic_stress|social_withdrawal,work_promotion|diet_change|housing_change,"Growing up was traumatic—there was a lot of chaos at home and very little stability. Ever since those years, I notice that I struggle to handle the present; it seems to lead me straight into a life where the pressure has been relentless and it never lets up. Between the bills and the demands at my job, I've been under constant stress. When that pressure builds up, I find myself pulling away from everyone and isolating myself, just stopping all communication with my friends entirely. I’ve been depressed. I also moved to a new place recently, but that doesn't change how I feel internally. I just don't have the energy to engage with the world anymore, and it feels like a cycle that started a long time ago and just keeps spinning."
doc_0021,0,1,0,1,0,0,0,early_adversity|emotion_dysregulation,,"Growing up was traumatic — there was a lot of chaos at home and very little stability. Ever since then, I notice that my emotions are completely all over the place. It manifests in these sudden, intense spikes where I just can't seem to level out. For instance, if a small disagreement happens during the day, I find myself spiraling into an outburst or a total meltdown, and I simply can't pull myself together emotionally once it starts. It feels like there is no middle ground; I am either fine or I am completely overwhelmed by whatever I am feeling in that moment. I struggle to find a way to dial it back or steady my breathing when the wave hits. On other notes, I started eating better lately, not that it changes any of this. I just want to figure out why the intensity is so high and why I feel so powerless to manage the swings when they happen."
doc_0022,1,0,0,0,1,1,1,social_withdrawal|rumination,work_promotion|new_hobby|diet_change,"I’ve been isolating, cancelling everything, seeing no one lately. I just stop answering texts and avoid any kind of gathering, even with the people I usually like. Ever since I started doing that, I notice my mind keeps repeating the same mistakes and conversations over and over; it's like a loop of every awkward thing I've ever said that I just can't shut off. Spending all that time alone with those thoughts tends to leave me in a place where I feel depressed. It's just a heavy, constant state that doesn't seem to lift regardless of what else is happening. On a separate note, I got a promotion at work recently, but that hasn't changed the way I'm feeling internally. I spend most of my weekends now just sitting in silence, unable to break out of those mental cycles, which only makes the distance between me and my friends feel wider."
doc_0023,0,0,0,0,1,0,0,social_withdrawal,work_promotion,"I’ve noticed a pattern lately where I’ve been pulling away from everyone and isolating myself. It isn't a sudden shift, but rather a steady decline in how I interact with the world. I stop responding to texts for days, I turn down every invitation to go out, and I simply avoid making eye contact with people I used to be close with. I spend my weekends entirely alone in my apartment, choosing silence over any kind of company, and I find that I just don't have the desire to bridge that gap anymore. It's become my default state to just disappear from my social circle entirely. On other fronts, things are moving along; I even got a promotion at work recently. But regardless of those external changes, I continue to distance myself from my friends and family, retreating further into my own space until the isolation feels complete."
doc_0024,1,0,0,0,0,1,1,rumination,travel|work_promotion|diet_change,"It’s become this constant cycle in my head. I keep replaying everything endlessly and can't shut it off, just looping through the same regrets and awkward moments from years ago. I'll spend hours analyzing a single sentence I said or a look someone gave me, turning it over and over until it's the only thing I can think about. When this happens, I find myself sinking deeper and deeper; I've been depressed. It's a heavy, persistent feeling that seems to settle in whenever those mental loops take over. On the surface, life is moving along—I got a promotion at work recently—but that doesn't change the way my mind works. I just can't seem to break the pattern of dwelling on these things, and it leaves me feeling completely drained. I want to figure out how to stop the repetition because it always leads me back to that same dark place."
doc_0025,0,0,1,1,1,1,0,chronic_stress|emotion_dysregulation|social_withdrawal|rumination,,"I’ve been under constant stress—work, money, all of it—and the pressure has been relentless and it never lets up. Ever since this started, I notice that my emotions are completely all over the place; I'll just snap or burst into tears over nothing because I can't control my emotions when it gets bad. At the same time, the pressure tends to leave me pulling away from everyone and isolating myself, where I just stop responding to texts and avoid seeing any of my friends. When I'm in that headspace, whether I'm feeling out of control or just alone, I find myself unable to stop going over the same thoughts again and again, replaying every failure in a loop that I can't shut off. I've started eating better lately, not that it changes any of this. It just feels like once the stress hits a certain level, everything else just spirals into these patterns I can't seem to break on my own."
doc_0026,0,0,1,0,1,1,0,chronic_stress|social_withdrawal|rumination,new_hobby,"I've been under constant stress—work, money, all of it—and the pressure has been relentless and it never lets up. Ever since things became this intense, I notice I've been pulling away from everyone and isolating myself, just canceling every plan and going completely quiet. I don't have the energy to maintain those connections anymore. This tendency to be alone tends to leave me with a mind that keeps repeating the same mistakes and conversations; I just keep replaying everything endlessly and can't shut it off. It becomes this loop that I can't break, where I'm just stuck on the same three or four negative points for hours. I did start learning how to paint recently. But regardless of that, once I'm in that headspace, the cycle just repeats. I spend my entire evening staring at the wall, going over the same scenarios and imagining different outcomes, unable to move past them."
doc_0027,0,1,0,0,0,0,0,early_adversity,,"My childhood was really unstable and difficult, and those years left a mark that I still feel today. I spent so much of my youth navigating environments where I never knew what to expect or who I could rely on. Because of that, I find myself constantly scanning people's faces for any sign of anger or disappointment during simple conversations. I tend to over-prepare for every possible scenario in my head before I walk into a room, almost as if I am anticipating a crisis that isn't actually happening. It is an exhausting way to exist, always waiting for the other shoe to drop even in safe spaces. I've lived in this city for five years now, which is just a fact of my life, but the internal patterns remain the same. I want to figure out why I still feel the need to protect myself from things that ended decades ago, and how to finally let that guard down."
doc_0028,1,1,1,0,0,1,1,early_adversity|chronic_stress|rumination,work_promotion|housing_change,"Growing up was traumatic — there was a lot of chaos at home and no real stability. Ever since then, I notice the pressure has been relentless and it never lets up; I’ve just been under constant stress with my finances and my relationships. That instability from my youth tends to leave me feeling like I can't catch my breath, and I feel depressed. I even got a promotion at work recently, but that doesn't change the way my head works. When I'm alone, I can't stop going over the same thoughts again and again, replaying every failure and every regret in a loop that I cannot shut off. Whenever I find myself stuck in those cycles, I feel depressed. I moved to a new place recently, but the internal noise follows me regardless of where I live."
doc_0029,0,0,1,0,0,1,0,chronic_stress|rumination,,"I've been under constant stress—work, money, all of it—and the pressure has been relentless and it never lets up. It feels like I'm always braced for the next crisis, regardless of the day. Separately, I struggle with this habit where my mind keeps repeating the same mistakes and conversations; I keep replaying everything endlessly and can't shut it off. I'll spend hours circling the same three sentences I said in a meeting, just looping through them without any resolution. It's an exhausting cycle that happens regardless of what else is going on in my life. On a side note, I started eating better lately, not that it changes any of this. I just feel stuck in these patterns and wanted to talk through how to manage them."
doc_0030,0,0,1,0,1,0,0,chronic_stress|social_withdrawal,,"I’ve been under constant stress—work, money, all of it—and the pressure has been relentless and it never lets up. Ever since this became my daily reality, I notice I've been pulling away from everyone and isolating myself. I stop returning texts, I cancel every dinner invite, and I just go completely quiet. When the demands at the office and the bills pile up like this, I find myself avoiding my friends entirely because I simply don't have the energy to engage with anyone. I spend my weekends alone in my apartment, shutting the world out until the silence is all I have left. I did start a new gym routine last month, but that doesn't change the way I'm living right now. It feels like I'm operating on a treadmill that won't stop, and the only response I have is to retreat further into my own space where no one can ask anything of me."
doc_0031,1,1,0,1,1,1,1,early_adversity|emotion_dysregulation|social_withdrawal|rumination,new_hobby,"Growing up was traumatic — there was a lot of chaos at home. Ever since then, I notice that my emotions are completely all over the place; I just can't seem to find a middle ground. When I break down like that, I find myself replaying everything endlessly and can't shut it off, just looping through the same failures. Lately, I've been isolating, cancelling everything, seeing no one. Being alone tends to leave me with those same patterns where I can't stop going over the same thoughts again and again. Because of all this, I feel depressed. I started learning how to paint recently, but the internal struggle remains. I don't know how to break the cycle when the instability from my childhood seems to dictate how I react to everything today. It feels like once the emotional spiral starts, the mental repetition takes over, and it just pulls me further down into that darkness."
doc_0032,1,1,1,1,1,1,1,early_adversity|chronic_stress|emotion_dysregulation|social_withdrawal|rumination,housing_change,"My childhood was really unstable and difficult, and I think that’s why I’ve been under constant stress—work, money, all of it just feels relentless. Ever since those early years, I notice my emotions are completely all over the place, though when the current pressure peaks, I find myself breaking down and unable to pull myself together emotionally. This constant strain also tends to leave me pulling away from everyone and isolating myself. I’ve moved to a new place recently. When I'm alone and unable to handle my feelings, I can't stop going over the same thoughts again and again, replaying every failure in a loop. Because I keep replaying everything endlessly and can't shut it off, I feel depressed. I've been depressed for a long time, and it feels tied to everything that came before."
doc_0033,1,1,1,0,1,1,1,early_adversity|chronic_stress|social_withdrawal|rumination,work_promotion|housing_change|diet_change,"Growing up was traumatic—there was a lot of chaos at home—and I think that’s why the pressure has been relentless and it never lets up now. Ever since I entered the workforce, I've been under constant stress with my finances and my job, and it just feels inevitable. When the stress hits this level, I find myself pulling away from everyone and isolating myself, just cutting people off entirely. Being alone like that tends to leave me in a headspace where I can't stop going over the same thoughts again and again, just looping through every failure on repeat. I've been depressed. I also moved to a new place recently, but that doesn't change the internal cycle. Because of those childhood experiences, I feel depressed, and then the cycle of isolation and my mind repeating the same mistakes just reinforces it further. I don't know how to break the loop."
doc_0034,0,1,1,0,1,1,0,early_adversity|chronic_stress|social_withdrawal|rumination,new_hobby|work_promotion,"My childhood was really unstable and difficult, and looking back, I think that foundation left me prone to how I handle things now. Ever since those years, I notice that the pressure in my adult life has been relentless and it never lets up; I've been under constant stress with my finances and my career. When the stress reaches this level, I find myself pulling away from everyone and isolating myself, avoiding my friends and cancelling every plan I have. Being alone like that tends to leave me in a place where I can't stop going over the same thoughts again and again, just replaying every failure and every awkward interaction in an endless loop. I've also started a new hobby recently, though it doesn't change the pattern. I just feel stuck in these cycles, where the silence of my apartment only gives more room for my mind to repeat the same negative scripts until I'm exhausted."
doc_0035,1,0,1,0,1,1,1,chronic_stress|social_withdrawal|rumination,,"I’ve been under constant stress—work, money, all of it—and the pressure has been relentless and it never lets up. Ever since this became my daily reality, I notice I've been pulling away from everyone and isolating myself, just canceling every plan and going quiet. Being alone like that tends to leave me with this cycle where I can't stop going over the same thoughts again and again, just replaying the same failures and conversations in my head without any end. This pattern of thinking has left me feeling completely drained. I am depressed. I just can't seem to break the loop. On another note, I started taking a pottery class on Tuesday nights, but that doesn't change how I'm feeling internally. It's just something I do. But when I'm home, those same thoughts just start spinning and I don't know how to make them stop."
doc_0036,1,0,0,1,0,1,1,emotion_dysregulation|rumination,new_hobby|diet_change,"It’s been a difficult few weeks. Whenever something goes wrong, I find that I break down and can't pull myself together emotionally; it just hits me so hard and fast that I lose all control. Once that happens, I notice that my mind keeps repeating the same mistakes and conversations over and over, looping through every detail of the situation for hours without stopping. This cycle of endless repetition tends to leave me in a place where I feel depressed. I just can't seem to shake that heavy feeling once the thoughts take over. On other notes, I've been trying to eat better lately and I started a new hobby with painting, but those things don't really change how this process works. I just feel trapped in this pattern where one emotional outburst leads straight into those repetitive thoughts, and then I end up right back in that dark place."
doc_0037,0,1,0,0,0,1,0,early_adversity|rumination,housing_change,"Growing up was traumatic—there was a lot of chaos at home and very little stability. It was a volatile environment where I never knew what to expect from one hour to the next, and those memories still feel incredibly vivid. I’ve spent a lot of time trying to process those years and understand why things happened the way they did. Separately, I struggle with this habit where my mind keeps repeating the same mistakes and conversations over and over. I will spend an entire evening replaying a single interaction from three days ago, analyzing every word and looping through the same negative scenarios without any resolution. It is like a record that is stuck, and I just can't seem to shut it off once it starts. On another note, I moved to a new place recently. Regardless of where I am living, these patterns of thought persist. I just want to figure out how to break those cycles of repetition and finally move past the events of my childhood."
doc_0038,0,0,1,0,0,0,0,chronic_stress,,"I’ve been under constant stress—work, money, all of it—and the pressure has been relentless and it never lets up. It manifests in my body every single morning; I wake up with my shoulders tight and a heavy feeling in my chest before I even open my eyes. During the day, it feels like I'm just barely keeping my head above water, managing one crisis after another without a moment to breathe. This state of tension has become my baseline, making it impossible to truly relax even during my weekends. I spend my evenings staring at my bills or checking emails, unable to switch off the sense of urgency that follows me everywhere. I started eating better lately, not that it changes any of this. It is just this unending cycle of demands that consumes all my energy and leaves me feeling completely worn down by the sheer persistence of it all."
doc_0039,1,0,0,0,0,1,1,rumination,,"It’s become this daily cycle that I just can't break. Whenever I have a bad interaction or make a small mistake at work, I keep replaying everything endlessly and can't shut it off. I spend hours just circling the same three or four sentences, analyzing why I said what I did and how it looked to others, over and over until the thought is worn thin. When this happens, I find myself sinking deeper and deeper into a place where everything feels heavy and pointless. I am depressed. It feels like once those mental loops start, they just drag me down into that state and I can't climb back out. I still go to my gym classes three times a week, but that doesn't change the way my head works. I just want to be able to experience a moment and let it go instead of letting it repeat in my mind for days on end."
doc_0040,0,0,1,0,1,0,0,chronic_stress|social_withdrawal,new_hobby|housing_change,"I've been under constant stress—work, money, all of it—and the pressure has been relentless and it never lets up. Ever since this became my daily reality, I notice I've been pulling away from everyone and isolating myself. When the pressure builds like that, I find myself canceling every plan and stopping all outreach; I just go completely quiet and see no one for weeks. It feels like I simply don't have the capacity to engage with other people when I'm carrying so much. I moved to a new place recently, and I also started a new hobby, but those things are separate from this cycle. This pattern of disappearing from my friends happens every time the demands of my life peak. I spend my weekends entirely alone in my apartment because the effort of maintaining those connections feels impossible while the stress persists. I just don't know how to break that loop of retreating whenever things get heavy."
doc_0041,0,1,0,0,0,0,0,early_adversity,housing_change|travel,"My childhood was really unstable and difficult, and those years left a permanent mark on how I navigate the world today. I spent so much of my youth just trying to figure out where I stood or if I was safe, which means I spend a lot of my adult life now scanning for signs of instability in other people. Even in a calm environment, I feel this internal tension, a sense that the floor could drop out from under me at any moment. It is a physical sensation, like a tightness in my chest that never fully goes away regardless of how well things are going. I find myself constantly preparing for a crisis that isn't actually happening, just because that was the baseline for me for so long. I moved to a new place recently, and while the apartment is nice, it doesn't change the way I feel inside. I just want to get to a point where I don't feel like I am perpetually waiting for something to go wrong."
doc_0042,0,0,0,0,1,0,0,social_withdrawal,,"I’ve noticed a pattern lately where I've been isolating, cancelling everything, and seeing no one. It started small, maybe just skipping a dinner here or there, but now it's become my default mode. I stopped responding to texts from my closest friends and I just don't make an effort to step outside my front door anymore. Even when I know people want to hang out, I find myself choosing the silence of my apartment over any kind of interaction. I spend my weekends entirely alone, avoiding the phone and ignoring invitations until people eventually stop asking. I’ve just completely stepped back from my social life. On another note, I started a new gym routine last month, which is just something I'm doing. But regarding this, I can't seem to figure out why I prefer being invisible to everyone right now. I just feel this strong urge to keep everyone at a distance and stay in my own space without exception."
doc_0043,1,1,1,1,0,0,1,early_adversity|chronic_stress|emotion_dysregulation,,"Growing up was traumatic — there was a lot of chaos at home. Ever since then, I notice that the pressure has been relentless and it never lets up, whether it's my bills or my job. When this kind of stress hits, I find myself unable to control my emotions when it gets bad; I just snap or burst into tears without warning. This instability seems to stem from those early years, as I've always struggled to keep things steady inside. I feel depressed. I’ve noticed that whenever the daily pressure mounts, it tends to leave me with my emotions being completely all over the place, making it impossible to function. I bought a new car last month, but these feelings remain the same regardless. It feels like I am constantly reacting to things with an intensity I can't manage, a pattern that started long ago and only intensifies when life feels overwhelming."
doc_0044,0,1,1,1,1,1,0,early_adversity|chronic_stress|emotion_dysregulation|social_withdrawal|rumination,work_promotion|travel,"My childhood was really unstable and difficult, and looking back, I think that’s why the pressure has been relentless and it never lets up in my adult life. Ever since those years, I notice that my emotions are completely all over the place; I just can't seem to find a middle ground. When the daily stress becomes this overwhelming, it tends to leave me unable to control my emotions when it gets bad. Because of that intensity, I've been pulling away from everyone and isolating myself lately. I also noticed that whenever I isolate, I can't stop going over the same thoughts again and again, just looping through everything. My mind keeps repeating the same mistakes and conversations, and that usually happens right after I've had one of those emotional breakdowns. I did take a trip recently, but these patterns just persist. I find myself stuck in these cycles where the isolation and the emotional volatility just feed into that endless mental replay."
